4.207s | tick 2356 | track 1 | ch 2 | Pitch Bend +1664 (raw 9856)
4.214s | tick 2360 | track 1 | ch 2 | Pitch Bend +1792 (raw 9984)
4.221s | tick 2364 | track 1 | ch 2 | Pitch Bend +1536 (raw 9728)
4.229s | tick 2368 | track 1 | ch 2 | Pitch Bend +1664 (raw 9856)
4.243s | tick 2376 | track 1 | ch 2 | Pitch Bend +512 (raw 8704)
4.250s | tick 2380 | track 1 | ch 2 | Pitch Bend 0 (raw 8192)
4.336s | tick 2428 | track 1 | ch 2 | Pitch Bend +512 (raw 8704)
4.343s | tick 2432 | track 1 | ch 2 | Pitch Bend +1024 (raw 9216)
4.350s | tick 2436 | track 1 | ch 2 | Pitch Bend +1152 (raw 9344)
4.350s | tick 2436 | track 1 | ch 2 | Note Off E2 (40) vel 114
4.350s | tick 2436 | track 1 | ch 2 | Pitch Bend +1280 (raw 9472)
4.357s | tick 2440 | track 1 | ch 2 | Pitch Bend +1536 (raw 9728)
4.357s | tick 2440 | track 1 | ch 3 | Note On E2 (40) vel 127
4.357s | tick 2440 | track 1 | ch 10 | Note On C2 (36) vel 123
4.357s | tick 2440 | track 1 | ch 10 | Note On E2 (40) vel 123
4.357s | tick 2440 | track 1 | ch 10 | Note On F2 (41) vel 123
4.364s | tick 2444 | track 1 | ch 2 | Pitch Bend 0 (raw 8192)
4.364s | tick 2444 | track 1 | ch 2 | Note On E2 (40) vel 108
4.386s | tick 2456 | track 1 | ch 2 | Note Off A#2 (46) vel 108
4.414s | tick 2472 | track 1 | ch 2 | Note Off E2 (40) vel 108
4.457s | tick 2496 | track 1 | ch 10 | Note Off C2 (36) vel 123
4.457s | tick 2496 | track 1 | ch 3 | Note Off E2 (40) vel 127
4.471s | tick 2504 | track 1 | ch 10 | Note Off F2 (41) vel 123
4.479s | tick 2508 | track 1 | ch 10 | Note Off E2 (40) vel 123
4.500s | tick 2520 | track 1 | ch 2 | Note On E2 (40) vel 107
4.636s | tick 2596 | track 1 | ch 2 | Note On E3 (52) vel 113
4.700s | tick 2632 | track 1 | ch 2 | Note Off E2 (40) vel 113
4.771s | tick 2672 | track 1 | ch 2 | Note Off E3 (52) vel 113
4.771s | tick 2672 | track 1 | ch 2 | Note On E2 (40) vel 105
4.821s | tick 2700 | track 1 | ch 2 | Note Off E2 (40) vel 105
4.914s | tick 2752 | track 1 | ch 2 | Note On E2 (40) vel 111
5.050s | tick 2828 | track 1 | ch 2 | Note On D3 (50) vel 110
5.071s | tick 2840 | track 1 | ch 2 | Note Off E2 (40) vel 110
5.186s | tick 2904 | track 1 | ch 2 | Note On E2 (40) vel 111
5.186s | tick 2904 | track 1 | ch 2 | Note Off D3 (50) vel 111
5.243s | tick 2936 | track 1 | ch 2 | Note Off E2 (40) vel 111
5.321s | tick 2980 | track 1 | ch 2 | Note On E2 (40) vel 114
5.457s | tick 3056 | track 1 | ch 2 | Note On C3 (48) vel 118
5.464s | tick 3060 | track 1 | ch 2 | Note Off E2 (40) vel 118
5.586s | tick 3128 | track 1 | ch 2 | Note Off C3 (48) vel 118
5.593s | tick 3132 | track 1 | ch 2 | Note On E2 (40) vel 106
5.636s | tick 3156 | track 1 | ch 2 | Note Off E2 (40) vel 106
5.729s | tick 3208 | track 1 | ch 2 | Note On E2 (40) vel 108
5.864s | tick 3284 | track 1 | ch 2 | Note On A#2 (46) vel 115
5.871s | tick 3288 | track 1 | ch 2 | Note Off E2 (40) vel 115
6.000s | tick 3360 | track 1 | ch 2 | Note On E2 (40) vel 111
6.021s | tick 3372 | track 1 | ch 2 | Note Off A#2 (46) vel 111
6.043s | tick 3384 | track 1 | ch 2 | Note Off E2 (40) vel 111
6.136s | tick 3436 | track 1 | ch 2 | Note On E2 (40) vel 111
6.271s | tick 3512 | track 1 | ch 2 | Note On B2 (47) vel 110
6.407s | tick 3588 | track 1 | ch 2 | Note Off B2 (47) vel 110
6.414s | tick 3592 | track 1 | ch 2 | Note On C3 (48) vel 111
6.486s | tick 3632 | track 1 | ch 2 | Note Off E2 (40) vel 111
6.543s | tick 3664 | track 1 | ch 3 | Note On E2 (40) vel 127
6.543s | tick 3664 | track 1 | ch 10 | Note On C2 (36) vel 119
6.543s | tick 3664 | track 1 | ch 10 | Note On E2 (40) vel 119
6.543s | tick 3664 | track 1 | ch 10 | Note On F2 (41) vel 123
6.543s | tick 3664 | track 1 | ch 2 | Note Off C3 (48) vel 111
6.550s | tick 3668 | track 1 | ch 2 | Note On E2 (40) vel 110
6.593s | tick 3692 | track 1 | ch 2 | Note Off E2 (40) vel 110
6.643s | tick 3720 | track 1 | ch 10 | Note Off C2 (36) vel 123
6.657s | tick 3728 | track 1 | ch 10 | Note Off F2 (41) vel 123
6.664s | tick 3732 | track 1 | ch 3 | Note Off E2 (40) vel 127
6.671s | tick 3736 | track 1 | ch 10 | Note Off E2 (40) vel 123
6.686s | tick 3744 | track 1 | ch 2 | Note On E2 (40) vel 108
6.821s | tick 3820 | track 1 | ch 2 | Note On E3 (52) vel 117
6.921s | tick 3876 | track 1 | ch 2 | Note Off E2 (40) vel 117
6.957s | tick 3896 | track 1 | ch 2 | Note On E2 (40) vel 111
6.971s | tick 3904 | track 1 | ch 2 | Note Off E3 (52) vel 111
7.007s | tick 3924 | track 1 | ch 2 | Note Off E2 (40) vel 111
7.093s | tick 3972 | track 1 | ch 2 | Note On E2 (40) vel 108
7.229s | tick 4048 | track 1 | ch 2 | Note On D3 (50) vel 110
7.264s | tick 4068 | track 1 | ch 2 | Note Off E2 (40) vel 110
7.364s | tick 4124 | track 1 | ch 2 | Note Off D3 (50) vel 110
7.364s | tick 4124 | track 1 | ch 2 | Note On E2 (40) vel 114
7.407s | tick 4148 | track 1 | ch 2 | Note Off E2 (40) vel 114
7.500s | tick 4200 | track 1 | ch 2 | Note On E2 (40) vel 115
7.636s | tick 4276 | track 1 | ch 2 | Note Off E2 (40) vel 115
7.636s | tick 4276 | track 1 | ch 2 | Note On C3 (48) vel 117
7.771s | tick 4352 | track 1 | ch 2 | Note On E2 (40) vel 111
7.821s | tick 4380 | track 1 | ch 2 | Note Off E2 (40) vel 111
7.843s | tick 4392 | track 1 | ch 2 | Note Off C3 (48) vel 111
7.914s | tick 4432 | track 1 | ch 2 | Note On E2 (40) vel 114
8.050s | tick 4508 | track 1 | ch 2 | Note On A#2 (46) vel 114
8.100s | tick 4536 | track 1 | ch 2 | Pitch Bend -256 (raw 7936)
8.114s | tick 4544 | track 1 | ch 2 | Pitch Bend +128 (raw 8320)
8.121s | tick 4548 | track 1 | ch 2 | Pitch Bend +512 (raw 8704)
8.129s | tick 4552 | track 1 | ch 2 | Pitch Bend +896 (raw 9088)
8.136s | tick 4556 | track 1 | ch 2 | Pitch Bend +1408 (raw 9600)
8.143s | tick 4560 | track 1 | ch 2 | Pitch Bend +1536 (raw 9728)
8.150s | tick 4564 | track 1 | ch 2 | Pitch Bend +1792 (raw 9984)
8.157s | tick 4568 | track 1 | ch 2 | Pitch Bend +1408 (raw 9600)
8.164s | tick 4572 | track 1 | ch 2 | Pitch Bend +256 (raw 8448)
8.236s | tick 4612 | track 1 | ch 2 | Pitch Bend +384 (raw 8576)
8.243s | tick 4616 | track 1 | ch 2 | Pitch Bend +640 (raw 8832)
8.250s | tick 4620 | track 1 | ch 2 | Pitch Bend +512 (raw 8704)
8.257s | tick 4624 | track 1 | ch 2 | Pitch Bend +1408 (raw 9600)
8.264s | tick 4628 | track 1 | ch 2 | Pitch Bend +1152 (raw 9344)
8.271s | tick 4632 | track 1 | ch 2 | Pitch Bend +1280 (raw 9472)
8.286s | tick 4640 | track 1 | ch 2 | Pitch Bend +2048 (raw 10240)
8.293s | tick 4644 | track 1 | ch 2 | Pitch Bend +1920 (raw 10112)
8.300s | tick 4648 | track 1 | ch 2 | Pitch Bend +1536 (raw 9728)
8.307s | tick 4652 | track 1 | ch 2 | Pitch Bend +896 (raw 9088)
8.314s | tick 4656 | track 1 | ch 2 | Pitch Bend 0 (raw 8192)
8.393s | tick 4700 | track 1 | ch 2 | Pitch Bend +128 (raw 8320)
8.400s | tick 4704 | track 1 | ch 2 | Pitch Bend +768 (raw 8960)
8.407s | tick 4708 | track 1 | ch 2 | Pitch Bend +1152 (raw 9344)
8.414s | tick 4712 | track 1 | ch 2 | Pitch Bend +1024 (raw 9216)
8.421s | tick 4716 | track 1 | ch 2 | Pitch Bend +1280 (raw 9472)
8.429s | tick 4720 | track 1 | ch 2 | Pitch Bend +1536 (raw 9728)
8.436s | tick 4724 | track 1 | ch 2 | Pitch Bend +2048 (raw 10240)
8.443s | tick 4728 | track 1 | ch 2 | Pitch Bend +1920 (raw 10112)
8.450s | tick 4732 | track 1 | ch 2 | Pitch Bend +896 (raw 9088)
8.457s | tick 4736 | track 1 | ch 2 | Pitch Bend +384 (raw 8576)
8.464s | tick 4740 | track 1 | ch 2 | Pitch Bend 0 (raw 8192)
8.550s | tick 4788 | track 1 | ch 2 | Pitch Bend +768 (raw 8960)
8.557s | tick 4792 | track 1 | ch 2 | Pitch Bend +1152 (raw 9344)
8.564s | tick 4796 | track 1 | ch 2 | Pitch Bend +1408 (raw 9600)
8.571s | tick 4800 | track 1 | ch 2 | Pitch Bend +1920 (raw 10112)
8.579s | tick 4804 | track 1 | ch 2 | Pitch Bend +1792 (raw 9984)
8.586s | tick 4808 | track 1 | ch 2 | Pitch Bend +1664 (raw 9856)
8.607s | tick 4820 | track 1 | ch 2 | Pitch Bend +512 (raw 8704)
8.614s | tick 4824 | track 1 | ch 2 | Pitch Bend 0 (raw 8192)
8.700s | tick 4872 | track 1 | ch 2 | Pitch Bend +512 (raw 8704)
8.707s | tick 4876 | track 1 | ch 2 | Pitch Bend +1024 (raw 9216)
8.714s | tick 4880 | track 1 | ch 2 | Pitch Bend +1152 (raw 9344)
8.714s | tick 4880 | track 1 | ch 2 | Note Off E2 (40) vel 114
8.714s | tick 4880 | track 1 | ch 2 | Pitch Bend +1280 (raw 9472)
8.721s | tick 4884 | track 1 | ch 2 | Pitch Bend +1536 (raw 9728)
8.721s | tick 4884 | track 1 | ch 1 | Note On E2 (40) vel 108
8.721s | tick 4884 | track 1 | ch 3 | Note On E2 (40) vel 122
8.721s | tick 4884 | track 1 | ch 10 | Note On C2 (36) vel 123
8.721s | tick 4884 | track 1 | ch 10 | Note On E2 (40) vel 123
8.721s | tick 4884 | track 1 | ch 10 | Note On F2 (41) vel 123
8.721s | tick 4884 | track 1 | ch 10 | Note On C#3 (49) vel 71
8.721s | tick 4884 | track 1 | ch 10 | Note On A3 (57) vel 61
8.729s | tick 4888 | track 1 | ch 2 | Pitch Bend 0 (raw 8192)
8.729s | tick 4888 | track 1 | ch 2 | Note Off A#2 (46) vel 114
8.729s | tick 4888 | track 1 | ch 2 | Note On E2 (40) vel 108
8.764s | tick 4908 | track 1 | ch 1 | Note Off E2 (40) vel 108
8.764s | tick 4908 | track 1 | ch 2 | Note Off E2 (40) vel 108
8.807s | tick 4932 | track 1 | ch 10 | Note Off C2 (36) vel 61
8.807s | tick 4932 | track 1 | ch 10 | Note Off A3 (57) vel 61
8.814s | tick 4936 | track 1 | ch 10 | Note Off C#3 (49) vel 61
8.814s | tick 4936 | track 1 | ch 10 | Note Off E2 (40) vel 61
8.821s | tick 4940 | track 1 | ch 10 | Note Off F2 (41) vel 61
8.836s | tick 4948 | track 1 | ch 3 | Note Off E2 (40) vel 122
8.857s | tick 4960 | track 1 | ch 1 | Note On E2 (40) vel 114
8.864s | tick 4964 | track 1 | ch 2 | Note On E2 (40) vel 114
8.929s | tick 5000 | track 1 | ch 10 | Note On C#3 (49) vel 23
8.929s | tick 5000 | track 1 | ch 10 | Note On A3 (57) vel 23
8.971s | tick 5024 | track 1 | ch 10 | Note Off C#3 (49) vel 23
8.971s | tick 5024 | track 1 | ch 10 | Note Off A3 (57) vel 23
9.000s | tick 5040 | track 1 | ch 1 | Note On E3 (52) vel 114
9.000s | tick 5040 | track 1 | ch 2 | Note On E3 (52) vel 114
9.014s | tick 5048 | track 1 | ch 1 | Note Off E2 (40) vel 114
9.021s | tick 5052 | track 1 | ch 2 | Note Off E2 (40) vel 114
9.129s | tick 5112 | track 1 | ch 1 | Note Off E3 (52) vel 114
9.136s | tick 5116 | track 1 | ch 1 | Note On E2 (40) vel 110
9.136s | tick 5116 | track 1 | ch 2 | Note Off E3 (52) vel 114
9.136s | tick 5116 | track 1 | ch 2 | Note On E2 (40) vel 110
9.179s | tick 5140 | track 1 | ch 1 | Note Off E2 (40) vel 110
9.179s | tick 5140 | track 1 | ch 2 | Note Off E2 (40) vel 110
9.271s | tick 5192 | track 1 | ch 1 | Note On E2 (40) vel 110
9.271s | tick 5192 | track 1 | ch 2 | Note On E2 (40) vel 110
9.407s | tick 5268 | track 1 | ch 1 | Note On D3 (50) vel 111
9.414s | tick 5272 | track 1 | ch 2 | Note On D3 (50) vel 111
9.421s | tick 5276 | track 1 | ch 1 | Note Off E2 (40) vel 111
9.429s | tick 5280 | track 1 | ch 2 | Note Off E2 (40) vel 111
9.529s | tick 5336 | track 1 | ch 1 | Note Off D3 (50) vel 111
9.536s | tick 5340 | track 1 | ch 2 | Note Off D3 (50) vel 111
9.543s | tick 5344 | track 1 | ch 1 | Note On E2 (40) vel 104
9.550s | tick 5348 | track 1 | ch 2 | Note On E2 (40) vel 104
9.586s | tick 5368 | track 1 | ch 1 | Note Off E2 (40) vel 104
9.593s | tick 5372 | track 1 | ch 2 | Note Off E2 (40) vel 104
9.679s | tick 5420 | track 1 | ch 1 | Note On E2 (40) vel 111
9.686s | tick 5424 | track 1 | ch 2 | Note On E2 (40) vel 111
9.814s | tick 5496 | track 1 | ch 1 | Note On C3 (48) vel 116
9.814s | tick 5496 | track 1 | ch 1 | Note Off E2 (40) vel 116
9.821s | tick 5500 | track 1 | ch 2 | Note On C3 (48) vel 116
9.821s | tick 5500 | track 1 | ch 2 | Note Off E2 (40) vel 116
9.943s | tick 5568 | track 1 | ch 1 | Note Off C3 (48) vel 116
9.950s | tick 5572 | track 1 | ch 1 | Note On E2 (40) vel 108
9.950s | tick 5572 | track 1 | ch 2 | Note Off C3 (48) vel 116
9.957s | tick 5576 | track 1 | ch 2 | Note On E2 (40) vel 108
9.993s | tick 5596 | track 1 | ch 1 | Note Off E2 (40) vel 108
10.000s | tick 5600 | track 1 | ch 2 | Note Off E2 (40) vel 108
10.086s | tick 5648 | track 1 | ch 1 | Note On E2 (40) vel 110
10.093s | tick 5652 | track 1 | ch 2 | Note On E2 (40) vel 110
10.221s | tick 5724 | track 1 | ch 1 | Note On A#2 (46) vel 110
10.229s | tick 5728 | track 1 | ch 2 | Note On A#2 (46) vel 110
10.236s | tick 5732 | track 1 | ch 1 | Note Off E2 (40) vel 110
10.243s | tick 5736 | track 1 | ch 2 | Note Off E2 (40) vel 110
10.357s | tick 5800 | track 1 | ch 1 | Note Off A#2 (46) vel 110
10.357s | tick 5800 | track 1 | ch 1 | Note On E2 (40) vel 110
10.357s | tick 5800 | track 1 | ch 2 | Note Off A#2 (46) vel 110
10.364s | tick 5804 | track 1 | ch 2 | Note On E2 (40) vel 110
10.414s | tick 5832 | track 1 | ch 1 | Note Off E2 (40) vel 110
10.421s | tick 5836 | track 1 | ch 2 | Note Off E2 (40) vel 110
10.500s | tick 5880 | track 1 | ch 1 | Note On E2 (40) vel 111
10.500s | tick 5880 | track 1 | ch 2 | Note On E2 (40) vel 111
10.636s | tick 5956 | track 1 | ch 1 | Note On B2 (47) vel 110
10.636s | tick 5956 | track 1 | ch 2 | Note On B2 (47) vel 110
10.764s | tick 6028 | track 1 | ch 1 | Note Off B2 (47) vel 110
10.771s | tick 6032 | track 1 | ch 1 | Note On C3 (48) vel 117
10.771s | tick 6032 | track 1 | ch 2 | Note Off B2 (47) vel 110
10.771s | tick 6032 | track 1 | ch 2 | Note On C3 (48) vel 117
10.864s | tick 6084 | track 1 | ch 1 | Note Off E2 (40) vel 117
10.864s | tick 6084 | track 1 | ch 2 | Note Off E2 (40) vel 117
10.893s | tick 6100 | track 1 | ch 1 | Note Off C3 (48) vel 117
10.893s | tick 6100 | track 1 | ch 2 | Note Off C3 (48) vel 117
